Metric,Value,Description
ramulator.active_cycles_5_3_0,1861588,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,2522475,Total active cycles for level _5_3_1
ramulator.active_cycles_6,22246454,Total active cycles for level _6
ramulator.active_cycles_6_0,6843269,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,3254752,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,3680166,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,5564183,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,2467188,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,3152720,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,6091880,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3378716,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,2780018,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,5292773,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,2484061,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,2846283,Total active cycles for level _6_3_1
ramulator.active_cycles_7,23596163,Total active cycles for level _7
ramulator.active_cycles_7_0,7357752,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,4547366,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,2927766,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,7360292,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,4151406,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,3259575,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,4866725,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,2988678,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,1910604,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,5550148,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,3070171,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,2523945,Total active cycles for level _7_3_1
ramulator.active_cycles_8,23024268,Total active cycles for level _8
ramulator.active_cycles_8_0,6541776,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,3831039,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,2784492,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,7217699,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,3365719,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,3901188,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,4670758,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,2962102,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,1731001,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,6034650,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,3621973,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,2447031,Total active cycles for level _8_3_1
ramulator.active_cycles_9,56430358,Total active cycles for level _9
ramulator.active_cycles_9_0,21608995,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,18764570,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,2897418,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,20408683,Total active cycles for level _9_1
